epochs,test_name,train_loss,test_loss,train_metric,test_metric,pen,conf
7,test_1/,0.000738798582623093,0.0008258160379103587,8.192315551463092e-7,9.973562382500287e-7,l2,g1_1__g2_10
8,test_1/,0.000738212123185797,0.000795547718056762,8.202983978085818e-7,9.499200341598814e-7,l2,g1_1__g2_10
9,test_1/,0.0007380852248151932,0.000796595541921686,8.215105015193633e-7,9.68426093570533e-7,l2,g1_1__g2_10
10,test_1/,0.0007380205189516143,0.0007975530838484361,8.223878666132358e-7,9.824203743699792e-7,l2,g1_1__g2_10
11,test_1/,0.0007380001981262996,0.0007980107974530629,8.226953047887847e-7,9.87377590387495e-7,l2,g1_1__g2_10
12,test_1/,0.0007379829818831813,0.0007984327042257438,8.22967742487425e-7,9.917858154608131e-7,l2,g1_1__g2_10
13,test_1/,0.0007379816386494074,0.0007988946805720067,8.232199272932633e-7,9.958785472133838e-7,l2,g1_1__g2_10
14,test_1/,0.0007379765494466127,0.0007967759562315196,8.230863976209648e-7,9.894353990763505e-7,l2,g1_1__g2_10
15,test_1/,0.0007379742367754586,0.0007965131557749343,8.231377218639546e-7,9.894475909188834e-7,l2,g1_1__g2_10
16,test_1/,0.0007379718344350276,0.0007962555295846563,8.231891960897433e-7,9.894682628239963e-7,l2,g1_1__g2_10
17,test_1/,0.0007379693985019129,0.0007960019212864229,8.232408484260314e-7,9.89498570899871e-7,l2,g1_1__g2_10
18,test_1/,0.0007379670967436962,0.0007957505559654233,8.232928452401428e-7,9.895393965974316e-7,l2,g1_1__g2_10
19,test_1/,0.0007379665910736944,0.0007957032350125221,8.233027937676907e-7,9.89549320586131e-7,l2,g1_1__g2_10
20,test_1/,0.0007379662576089412,0.0007956687905534373,8.233101846322722e-7,9.89558273534177e-7,l2,g1_1__g2_10
21,test_1/,0.0007379659180023536,0.0007956403619708696,8.233160730127789e-7,9.895633223114023e-7,l2,g1_1__g2_10
22,test_1/,0.0007379658771171654,0.0007956369765043402,8.233168176128364e-7,9.895644408466657e-7,l2,g1_1__g2_10
23,test_1/,0.0007379658771171654,0.0007956369765043402,8.233168176128364e-7,9.895644408466657e-7,l2,g1_1__g2_10
1,test_1/,0.01768915397165906,0.03529422341960665,0.0007183578911917138,0.002013564154197812,l2,g1_1__g2_20
2,test_1/,0.008330736152963593,0.025612507528577334,0.00014596057385282444,0.0011564400047592667,l2,g1_1__g2_20
3,test_1/,0.007495177720688106,0.026325530631684184,0.00010045397046332001,0.0013441064459374327,l2,g1_1__g2_20
4,test_1/,0.0043326315333953895,0.015322761437559075,6.158143267755998e-5,0.0006987615705002359,l2,g1_1__g2_20
5,test_1/,0.0019465431601538464,0.005883260678851893,6.6178293109760735e-6,9.155871792377062e-5,l2,g1_1__g2_20
6,test_1/,0.0018296017025929364,0.006013461378185217,5.947091138431481e-6,8.731203859210914e-5,l2,g1_1__g2_20
7,test_1/,0.0009304646270823599,0.0012478811179886312,8.346262160553248e-7,1.5829363243411886e-6,l2,g1_1__g2_20
8,test_1/,0.0009165254621191139,0.0009430263880495349,8.261746878811602e-7,9.374166160323227e-7,l2,g1_1__g2_20
9,test_1/,0.0009155229409831606,0.0009791310508078031,8.196699415756668e-7,9.548786049644964e-7,l2,g1_1__g2_20
10,test_1/,0.0009154657847924601,0.000973851131566573,8.198557846680693e-7,9.461102028051686e-7,l2,g1_1__g2_20
11,test_1/,0.0009154609226243407,0.0009727989350417617,8.199324717098164e-7,9.449396545706803e-7,l2,g1_1__g2_20
12,test_1/,0.0009154390112158834,0.0009745083399709827,8.204486895873049e-7,9.557715943264364e-7,l2,g1_1__g2_20
13,test_1/,0.0009153947218477498,0.0009783326875397033,8.227339488832108e-7,9.944756787240067e-7,l2,g1_1__g2_20
14,test_1/,0.0009153937705565436,0.0009784410059724804,8.227838956565391e-7,9.953577247928146e-7,l2,g1_1__g2_20
15,test_1/,0.0009153931089239785,0.000978534538215556,8.2282459529837e-7,9.960768280701897e-7,l2,g1_1__g2_20
